FirstName,Surname,DateOfBirth,Street,City,PostalCode,Country,Phone,Iban
Ahmed,Ivanov,1965-10-19,Kirkkokatu 36,Espoo,85532,FI,+358001338908,FI2816525808631930
Günter,Fürst,1969-03-14,Löwenplatz 12,Hamburg,59615,DE,+49184959310,DE59679883481367606524
Renée,Röder,1978-07-20,Brühlstraße 84,München,14207,DE,+49564139537,DE73394225258329500167
Marco,Marchetti,1959-01-12,Lindenallee 65,Würzburg,99166,DE,+49184514627,DE61077975168513199954
Röschen,Röder,1965-01-24,Hauptstraße 62,Lübeck,21226,DE,+49718227824,DE12569976736384200550
Andrei,Kowalski,2004-02-16,Jääkarhuntie 85,Espoo,40385,FI,+358738299737,FI7581044476904382
Ülkü,Schröder,1964-10-06,Müllerstraße 119,Nürnberg,68082,DE,+49810801326,DE07424039274499571295
Päivi,Järvinen,1963-02-07,Kauppakatu 123,Tampere,75182,FI,+358219136193,FI8050065326321649
Zeynep,Nowak,2003-05-21,Østergade 138,Aalborg,5345,DK,+45251354278,DK6776960826911152
Ilkkä,Ähtäri,1962-07-23,Länsiväylä 126,Oulu,21749,FI,+358640052427,FI1554008958511387
Øystein,Skjøtt,1994-06-17,Kløvervej 27,Kolding,3532,DK,+45322602563,DK7727188284372013
Bodil,Åkerlund,1987-09-17,Kløvervej 131,Vejle,1452,DK,+45142940196,DK3737491810458697
Sönke,Wächter,1984-12-10,Gänseblümchenweg 170,Köln,76469,DE,+49465648236,DE04637154832763465797
Eija,Kärkkäinen,1978-02-26,Aleksanterinkatu 61,Oulu,35250,FI,+358003791769,FI2016426077141950
Wolfgang,Krüger,1986-06-20,Löwenplatz 119,Würzburg,68008,DE,+49986872774,DE98782742472380131243
Giulia,Demir,1992-02-16,Kühnstraße 150,München,72518,DE,+49054668893,DE17424367789959560481
Wolfgang,Grün,1995-10-27,Gänseblümchenweg 98,Berlin,43065,DE,+49170805310,DE81791011652671671891
Jörn,Jäger,1979-10-15,Grünstraße 51,Köln,23356,DE,+49491905865,DE31060444384115669748
Tuulikki,Hämäläinen,1999-09-10,Pörssikatu 116,Turku,82724,FI,+358650752735,FI4873872090747664
Linh,Demir,1991-02-09,Blågårdsgade 63,Esbjerg,8753,DK,+45885685574,DK1632737961725759
Ærlig,Løvgren,1982-08-11,Strøget 4,Odense,1745,DK,+45084271094,DK1444109484060153
Giulia,Ivanov,1998-06-02,Ærøvej 134,Vejle,8253,DK,+45496499091,DK5992261100452277
Andrä,Nüsslein,1968-04-18,Brühlstraße 51,Stuttgart,81376,DE,+49324210249,DE68752166954004320985
Bodil,Møgelvang,2004-07-23,Nørregade 45,Randers,8245,DK,+45429671756,DK6936836298543394
Örn,Väisänen,2004-07-06,Käpyläntie 14,Turku,56737,FI,+358770348247,FI0484067730428196
Röschen,Brühl,2001-04-15,Grünstraße 70,Stuttgart,71894,DE,+49378263982,DE02827495822594153554
Linh,Demir,1986-07-19,Schäferweg 106,München,71993,DE,+49662702895,DE76884547461493668883
Stefanie,Görlitz,1979-01-23,Hauptstraße 159,Köln,92727,DE,+49431611724,DE46907231557108629142
Piotr,Petrov,1964-08-17,Brühlstraße 140,Düsseldorf,67898,DE,+49594647436,DE30813326083087997897
Cäcilie,Hübner,1966-09-19,Wächterweg 65,Düsseldorf,92242,DE,+49047095214,DE24342783521999288407
Jörn,Görlitz,1959-04-02,Gänseblümchenweg 24,Stuttgart,44663,DE,+49817549651,DE64646936664761009125
Renée,Löwe,1966-11-19,Wächterweg 40,Stuttgart,74139,DE,+49964053773,DE60806593311846650721
Amira,Rossi,1987-06-24,Kauppakatu 56,Turku,28907,FI,+358904228421,FI2560072310757475
Günter,Schäfer,1985-01-22,Grünstraße 169,Würzburg,70036,DE,+49007661771,DE35831165735254716858
Ülkü,Grün,1995-04-28,Jägerweg 117,Stuttgart,22463,DE,+49565452711,DE91800785553136787963
Ritva,Räsänen,1990-12-23,Jääkarhuntie 28,Jyväskylä,24880,FI,+358493689980,FI7966602793116079
Jörn,Löwe,1991-03-14,Rosenstraße 88,Düsseldorf,50846,DE,+49599102290,DE97626442714264603503
Ahmed,Petrov,2002-08-16,Gänseblümchenweg 31,München,66446,DE,+49226838851,DE23374403446249194634
Jörn,Brühl,1988-06-17,Bahnhofstraße 102,Berlin,39041,DE,+49521818835,DE20396112117096455686
Ejnar,Bæk,1997-09-03,Frederiksberggade 18,Randers,5961,DK,+45490581477,DK6003269053597095
Matthäus,Krüger,1988-10-23,Hauptstraße 116,Köln,21053,DE,+49820377889,DE33132435760062769835
Jörn,Krüger,1991-10-18,Wächterweg 22,Berlin,94343,DE,+49528168505,DE69393719127557568651
Günter,Schröder,1994-11-11,Grünstraße 113,München,57749,DE,+49379473834,DE23979165477541168043
Bo,Kjærgaard,1982-06-22,Strøget 22,Odense,8361,DK,+45826137506,DK3405293098671286
Wolfgang,Wächter,1980-12-17,Hauptstraße 21,München,38266,DE,+49289861434,DE66126608456572035165
Renée,Brühl,1959-10-29,Löwenplatz 130,Würzburg,61177,DE,+49706540515,DE45261571336869411790
Björn,Grün,1993-09-23,Kühnstraße 80,Würzburg,81176,DE,+49740345054,DE72138783944958706853
Röschen,Vogtländer,1997-10-28,Wächterweg 110,Düsseldorf,56077,DE,+49705964016,DE18386916700733566937
Jukka,Kärkkäinen,1968-03-06,Näätätie 72,Turku,13853,FI,+358278681447,FI1626692101798996
Häkkinen,Söderholm,1990-06-07,Jääkarhuntie 41,Tampere,75329,FI,+358132370589,FI4338560397578096
Ännchen,Krüger,1974-04-29,Kühnstraße 142,Lübeck,26912,DE,+49680182422,DE79373988265135519167
Kalevi,Järvinen,1962-01-29,Jääkarhuntie 8,Espoo,92889,FI,+358943969078,FI6429486200442637
Jukka,Häkkinen,1986-08-18,Rautatienkatu 95,Espoo,40577,FI,+358147321046,FI6584998971194840
Cäcilie,Hübner,1962-07-15,Wächterweg 91,München,46877,DE,+49797480162,DE61877345150572961937
Sören,Hübner,2002-11-12,Wächterweg 131,Stuttgart,15276,DE,+49002578729,DE81819336855545403143
Søren,Søby,1962-08-10,Frederiksberggade 68,Aalborg,8871,DK,+45289623091,DK5514442564877559
Käthe,Vogtländer,1989-10-14,Kühnstraße 137,Frankfurt am Main,98587,DE,+49497334843,DE89997764459725583371
Günther,Weiß,2000-12-24,Kühnstraße 114,Berlin,38047,DE,+49384842199,DE72209221346199168467
Björn,Köhler,1961-05-07,Brühlstraße 147,Nürnberg,32946,DE,+49620672400,DE29269346581528376703
Rüdiger,Schröder,1996-05-15,Wächterweg 164,Stuttgart,77538,DE,+49516122753,DE09034235523264169876
